CONTENT CLASSIFICATION,                    ,                                 , GENERAL INFORMATION,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  , CONTAINED PRODUCT(S) INFORMATION,                ,                                ,           ,                            ,                 ,                           ,                          , 
New Content           , Licence Type       , Wholesaler Product Reference No., Registered Name*   , Effective Date of Product/Pack Launch, Indicative Trade Price, Container Type*, Product Authorisation Number, PCRS Identifier/Name, GTIN, Attachment links - Image of Unit Dose; Data Sheet/SMPC; Packaging Artwork; Others, Packsize Quantity*              , Packsize Units*, Marketing Authorisation Holder*, Dose Form*, Legal Status - MDA Schedule, Ingredient Name*, Ingredient Strength Value*, Ingredient Strength Unit*, ATC Code
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
Medicinal Product     , Choose License Type,                                 ,                    ,                                      ,                       ,                ,                             ,                     ,     ,                                                                                  ,                                 ,                ,                                ,           , Please Choose              ,                 ,                           ,                          , 
